iterations,QE,TE
2,8.11470385503793,0.8675
5,8.031463675566426,0.872
10,7.934161249991451,0.879
50,7.809207229098802,0.8785
100,7.7479033050074815,0.8675
1000,6.420245906414768,0.337
5000,5.6034384739742595,0.335
10000,5.523390449460983,0.3195
