from,to,walking,public_transport
359238262,1467334210,663,663
359238262,30528334,807,807
359238262,2247657921,835,835
359238262,415627424,1303,1303
359238262,2510053075,1201,1201
359238262,2450295917,1061,1061
359238262,12864827040,1246,1246
359238262,9645157393,983,983
359238262,354615386,1335,1335
359238262,1363142268,1603,1603
359238262,8209501770,1688,1688
5904861029,1308621529,786,786
5904861029,4551892507,783,783
5904861029,359238262,747,747
5904861029,2048616571,303,303
5904861029,98105901,867,867
5904861029,410455891,596,596
5904861029,561323738,850,850
5904861029,4063613611,717,717
5904861029,2137688161,837,837
5904861029,618284053,893,901
5904861029,1363354897,825,825
5904861029,2478696679,989,989
5904861029,895302724,951,951
5904861029,5664809637,990,1045
5904861029,4192093000,1075,1075
5904861029,1454374331,888,888
5904861029,4852403788,717,717
5904861029,9995798817,960,960
5904861029,442585871,1252,1006
5904861029,244497161,1229,1229
5904861029,2579219364,1026,1026
5904861029,3380176573,1158,1158
5904861029,6778160929,1083,1083
5904861029,355686988,755,755
5904861029,311283313,1028,1028
5904861029,10238950146,829,829
5904861029,2457088247,1275,1275
5904861029,3563688393,1110,1110
5904861029,948326965,1315,1170
5904861029,8334692909,1062,1062
5904861029,2669480090,880,880
5904861029,12390124794,1310,1310
5904861029,12952062259,1569,1569
5904861029,2750669760,1375,1375
5904861029,2454512962,1202,1202
5904861029,12843952346,1435,1435
5904861029,5578380846,1937,1937
5904861029,10013110915,1857,1857
5904861029,4030881336,1913,1913
5904861029,1590153702,1697,1697
5904861029,136322935,2046,2046
5904861029,5981514091,1557,1557
5904861029,442551000,1363,1363
5904861029,12479126905,1456,1456
5904861029,133618467,1654,1654
5904861029,1488907662,1702,1702
5904861029,1991433140,1489,1489
5904861029,5582570021,1232,1232
5904861029,4239841589,1624,1624
5904861029,4019827636,1577,1577
5904861029,1167293625,1351,1351
5904861029,5881659505,1266,1266
5904861029,295413460,1171,1171
5904861029,1107533195,1357,1357
5904861029,138314025,1324,1324
5904861029,10583638334,1049,1049
5904861029,476441840,544,544
5904861029,1467334210,457,457
5904861029,30528334,732,732
5904861029,2247657921,732,732
5904861029,415627424,1199,1199
5904861029,2510053075,1156,1156
5904861029,2450295917,727,727
5904861029,12864827040,912,912
5904861029,9645157393,649,649
5904861029,354615386,1387,1387
5904861029,1363142268,1655,1655
5904861029,8209501770,1746,1746
2048616571,1308621529,650,719
2048616571,4551892507,647,647
2048616571,359238262,611,611
2048616571,5904861029,342,342
2048616571,98105901,831,831
2048616571,410455891,705,705
2048616571,561323738,814,814
2048616571,4063613611,826,826
2048616571,2137688161,793,793
2048616571,618284053,857,857
2048616571,1363354897,781,781
2048616571,2478696679,945,1276
2048616571,895302724,907,907
2048616571,5664809637,946,946
2048616571,4192093000,1031,1031
2048616571,1454374331,844,844
2048616571,4852403788,997,997
2048616571,9995798817,916,916
2048616571,442585871,962,962
2048616571,244497161,1126,1195
2048616571,2579219364,923,923
2048616571,3380176573,1055,1055
2048616571,6778160929,980,980
2048616571,355686988,649,649
2048616571,311283313,925,925
2048616571,10238950146,726,726
2048616571,2457088247,1239,1239
2048616571,3563688393,1219,1219
2048616571,948326965,1279,1279
2048616571,8334692909,1171,1171
2048616571,2669480090,844,844
2048616571,12390124794,1419,1419
2048616571,12952062259,1533,1533
2048616571,2750669760,1484,1291
2048616571,2454512962,1311,1311
2048616571,12843952346,1391,1391
2048616571,5578380846,1901,1901
2048616571,10013110915,1966,1966
2048616571,4030881336,1640,1640
2048616571,1590153702,1424,1424
2048616571,136322935,2002,2002
2048616571,5981514091,1285,1285
2048616571,442551000,1215,1215
2048616571,12479126905,1184,1184
2048616571,133618467,1510,1510
2048616571,1488907662,1558,1558
2048616571,1991433140,1344,1344
2048616571,5582570021,1129,1129
2048616571,4239841589,1521,1521
2048616571,4019827636,1413,1413
2048616571,1167293625,1248,1248
2048616571,5881659505,1163,1163
2048616571,295413460,1068,1068
2048616571,1107533195,1451,1451
2048616571,138314025,1418,1418
2048616571,10583638334,1082,1082
2048616571,476441840,697,697
2048616571,1467334210,610,610
2048616571,30528334,769,769
2048616571,2247657921,696,696
2048616571,415627424,1163,1163
2048616571,2510053075,1120,1120
2048616571,2450295917,691,691
2048616571,12864827040,876,876
2048616571,9645157393,613,613
2048616571,354615386,1351,1351
2048616571,1363142268,1619,1619
2048616571,8209501770,1710,1710
98105901,1308621529,1389,1389
98105901,4551892507,1386,1386
98105901,359238262,1314,1314
98105901,5904861029,918,918
98105901,2048616571,1023,1023
98105901,410455891,1238,1238
98105901,561323738,1122,1122
98105901,4063613611,1041,1041
98105901,2137688161,1556,1556
98105901,618284053,1469,1469
98105901,1363354897,1544,1544
98105901,2478696679,1632,1632
98105901,895302724,1731,1731
98105901,5664809637,1594,1594
98105901,4192093000,1829,1829
98105901,1454374331,1775,1775
98105901,4852403788,1604,1604
98105901,9995798817,1861,1861
98105901,442585871,1936,1936
98105901,244497161,1913,1913
98105901,2579219364,1615,1615
98105901,3380176573,1680,1680
98105901,6778160929,1777,1777
98105901,355686988,1061,1061
98105901,311283313,1354,1354
98105901,10238950146,1351,1351
98105901,2457088247,1439,1439
98105901,3563688393,1389,1389
98105901,948326965,1494,1494
98105901,8334692909,708,708
98105901,2669480090,730,730
98105901,12390124794,956,956
98105901,12952062259,1747,1747
98105901,2750669760,1708,1708
98105901,2454512962,1526,1526
98105901,12843952346,2068,2068
98105901,5578380846,2116,2116
98105901,10013110915,2181,2181
98105901,4030881336,2240,2240
98105901,1590153702,2024,2024
98105901,136322935,2679,2679
98105901,5981514091,1933,1933
98105901,442551000,1688,1688
98105901,12479126905,1780,1780
98105901,133618467,1981,1981
98105901,1488907662,2029,2029
98105901,1991433140,1816,1816
98105901,5582570021,1561,1561
98105901,4239841589,1988,1988
98105901,4019827636,1941,1941
98105901,1167293625,1589,1589
98105901,5881659505,1504,1504
98105901,295413460,1429,1429
98105901,1107533195,1660,1660
98105901,138314025,1627,1627
98105901,10583638334,1296,1296
98105901,476441840,1196,1196
98105901,1467334210,1204,1204
98105901,30528334,978,978
98105901,2247657921,792,792
98105901,415627424,1259,1259
98105901,2510053075,1152,1152
98105901,2450295917,765,765
98105901,12864827040,1168,1168
98105901,9645157393,583,583
98105901,354615386,1565,1565
98105901,1363142268,1833,1833
98105901,8209501770,1924,1924
410455891,1308621529,901,901
410455891,4551892507,995,995
410455891,359238262,965,965
410455891,5904861029,804,804
410455891,2048616571,676,676
410455891,98105901,749,749
410455891,561323738,216,216
410455891,4063613611,308,308
410455891,2137688161,749,749
410455891,618284053,813,813
410455891,1363354897,737,737
410455891,2478696679,902,902
410455891,895302724,864,864
410455891,5664809637,861,861
410455891,4192093000,988,988
410455891,1454374331,800,800
410455891,4852403788,629,629
410455891,9995798817,886,886
410455891,442585871,961,961
410455891,244497161,938,938
410455891,2579219364,1065,1065
410455891,3380176573,956,956
410455891,6778160929,864,864
410455891,355686988,997,997
410455891,311283313,1229,1229
410455891,10238950146,966,966
410455891,2457088247,714,714
410455891,3563688393,819,819
410455891,948326965,761,761
410455891,8334692909,943,943
410455891,2669480090,666,666
410455891,12390124794,1162,1162
410455891,12952062259,1468,1468
410455891,2750669760,969,969
410455891,2454512962,794,794
410455891,12843952346,1281,1458
410455891,5578380846,1384,1384
410455891,10013110915,1449,1449
410455891,4030881336,1639,1639
410455891,1590153702,1423,1423
410455891,136322935,1964,1964
410455891,5981514091,1201,1201
410455891,442551000,1089,1089
410455891,12479126905,1182,1182
410455891,133618467,1452,1452
410455891,1488907662,1500,1500
410455891,1991433140,1215,1215
410455891,5582570021,1322,1322
410455891,4239841589,1715,1715
410455891,4019827636,1668,1668
410455891,1167293625,1552,1552
410455891,5881659505,1467,1467
410455891,295413460,1372,1372
410455891,1107533195,1737,1737
410455891,138314025,1704,1704
410455891,10583638334,1480,1480
410455891,476441840,1069,1069
410455891,1467334210,1110,1110
410455891,30528334,1254,1254
410455891,2247657921,1047,1047
410455891,415627424,1514,1514
410455891,2510053075,1407,1407
410455891,2450295917,1020,1020
410455891,12864827040,1368,1368
410455891,9645157393,838,838
410455891,354615386,1029,1029
410455891,1363142268,1297,1297
410455891,8209501770,1382,1382
561323738,1308621529,1025,1025
561323738,4551892507,1136,1136
561323738,359238262,1089,1089
561323738,5904861029,945,945
561323738,2048616571,817,817
561323738,98105901,705,705
561323738,410455891,293,293
561323738,4063613611,448,448
561323738,2137688161,873,873
561323738,618284053,876,876
561323738,1363354897,861,861
561323738,2478696679,1026,1026
561323738,895302724,988,988
561323738,5664809637,1001,1001
561323738,4192093000,1112,1112
561323738,1454374331,924,924
561323738,4852403788,753,753
561323738,9995798817,1010,1010
561323738,442585871,1085,1085
561323738,244497161,1062,1062
561323738,2579219364,1189,1189
561323738,3380176573,1080,1080
561323738,6778160929,988,988
561323738,355686988,1138,1138
561323738,311283313,1353,1353
561323738,10238950146,1090,1090
561323738,2457088247,838,838
561323738,3563688393,847,847
561323738,948326965,916,916
561323738,8334692909,899,899
561323738,2669480090,572,572
561323738,12390124794,1154,1154
561323738,12952062259,1272,1272
561323738,2750669760,1030,1030
561323738,2454512962,933,933
561323738,12843952346,1460,1477
561323738,5578380846,1523,1523
561323738,10013110915,1573,1573
561323738,4030881336,1760,1760
561323738,1590153702,1547,1547
561323738,136322935,2071,2071
561323738,5981514091,1325,1325
561323738,442551000,1213,1213
561323738,12479126905,1321,1306
561323738,133618467,1576,1576
561323738,1488907662,1655,1655
561323738,1991433140,1339,1339
561323738,5582570021,1446,1446
561323738,4239841589,1839,1839
561323738,4019827636,1792,1792
561323738,1167293625,1737,1737
561323738,5881659505,1591,1652
561323738,295413460,1453,1453
561323738,1107533195,1878,1878
561323738,138314025,1845,1845
561323738,10583638334,1621,1621
561323738,476441840,1210,1210
561323738,1467334210,1243,1243
561323738,30528334,1170,1170
561323738,2247657921,1003,1003
561323738,415627424,1470,1470
561323738,2510053075,1368,1368
561323738,2450295917,976,976
561323738,12864827040,1247,1297
561323738,9645157393,794,794
561323738,354615386,1090,1090
561323738,1363142268,1358,1358
561323738,8209501770,1443,1443
4063613611,1308621529,833,833
4063613611,4551892507,1092,1092
4063613611,359238262,897,897
4063613611,5904861029,901,901
4063613611,2048616571,773,773
4063613611,98105901,736,736
4063613611,410455891,315,315
4063613611,561323738,520,520
4063613611,2137688161,515,515
4063613611,618284053,428,428
4063613611,1363354897,503,503
4063613611,2478696679,590,590
4063613611,895302724,689,689
4063613611,5664809637,552,552
4063613611,4192093000,787,787
4063613611,1454374331,733,733
4063613611,4852403788,562,562
4063613611,9995798817,819,819
4063613611,442585871,894,894
4063613611,244497161,871,871
4063613611,2579219364,998,998
4063613611,3380176573,888,888
4063613611,6778160929,797,797
4063613611,355686988,1094,1094
4063613611,311283313,1205,1205
4063613611,10238950146,898,898
4063613611,2457088247,507,507
4063613611,3563688393,714,714
4063613611,948326965,452,452
4063613611,8334692909,966,966
4063613611,2669480090,638,638
4063613611,12390124794,1194,1194
4063613611,12952062259,1158,1158
4063613611,2750669760,960,960
4063613611,2454512962,484,484
4063613611,12843952346,1148,1148
4063613611,5578380846,1074,1074
4063613611,10013110915,1139,1139
4063613611,4030881336,1326,1326
4063613611,1590153702,1251,1251
4063613611,136322935,1637,1637
4063613611,5981514091,891,891
4063613611,442551000,943,943
4063613611,12479126905,887,887
4063613611,133618467,1305,1305
4063613611,1488907662,1353,1353
4063613611,1991433140,1068,1068
4063613611,5582570021,1167,1167
4063613611,4239841589,1560,1560
4063613611,4019827636,1513,1513
4063613611,1167293625,1528,1528
4063613611,5881659505,1443,1302
4063613611,295413460,1174,1174
4063613611,1107533195,1910,1910
4063613611,138314025,1833,1833
4063613611,10583638334,1577,1577
4063613611,476441840,1166,1166
4063613611,1467334210,1207,1207
4063613611,30528334,1351,1351
4063613611,2247657921,1034,1034
4063613611,415627424,1501,1501
4063613611,2510053075,1394,1394
4063613611,2450295917,1007,1007
4063613611,12864827040,1278,1328
4063613611,9645157393,825,825
4063613611,354615386,941,941
4063613611,1363142268,1240,1240
4063613611,8209501770,1355,1355
2137688161,1308621529,800,800
2137688161,4551892507,1160,1160
2137688161,359238262,864,864
2137688161,5904861029,981,1005
2137688161,2048616571,877,877
2137688161,98105901,1064,1064
2137688161,410455891,680,704
2137688161,561323738,848,848
2137688161,4063613611,647,647
2137688161,618284053,286,286
2137688161,1363354897,260,260
2137688161,2478696679,390,390
2137688161,895302724,376,376
2137688161,5664809637,355,355
2137688161,4192093000,563,563
2137688161,1454374331,561,561
2137688161,4852403788,488,488
2137688161,9995798817,745,745
2137688161,442585871,820,820
2137688161,244497161,797,797
2137688161,2579219364,924,924
2137688161,3380176573,880,880
2137688161,6778160929,723,723
2137688161,355686988,1198,1198
2137688161,311283313,1128,1128
2137688161,10238950146,865,865
2137688161,2457088247,662,662
2137688161,3563688393,939,939
2137688161,948326965,517,517
2137688161,8334692909,1294,1294
2137688161,2669480090,966,966
2137688161,12390124794,1487,1487
2137688161,12952062259,1258,1258
2137688161,2750669760,1058,1056
2137688161,2454512962,584,584
2137688161,12843952346,928,928
2137688161,5578380846,1174,1174
2137688161,10013110915,1239,1239
2137688161,4030881336,1228,1228
2137688161,1590153702,1208,1208
2137688161,136322935,1539,1539
2137688161,5981514091,848,848
2137688161,442551000,1001,1001
2137688161,12479126905,844,844
2137688161,133618467,1394,1394
2137688161,1488907662,1442,1442
2137688161,1991433140,1126,1126
2137688161,5582570021,1124,1124
2137688161,4239841589,1517,1517
2137688161,4019827636,1470,1470
2137688161,1167293625,1451,1451
2137688161,5881659505,1259,1259
2137688161,295413460,1131,1131
2137688161,1107533195,1819,1819
2137688161,138314025,1786,1786
2137688161,10583638334,1619,1619
2137688161,476441840,1246,1270
2137688161,1467334210,1311,1311
2137688161,30528334,1455,1431
2137688161,2247657921,1362,1362
2137688161,415627424,1829,1829
2137688161,2510053075,1722,1722
2137688161,2450295917,1335,1335
2137688161,12864827040,1634,1634
2137688161,9645157393,1153,1153
2137688161,354615386,1039,1039
2137688161,1363142268,1515,1515
2137688161,8209501770,1455,1455
618284053,1308621529,625,625
618284053,4551892507,910,910
618284053,359238262,689,689
618284053,5904861029,719,719
618284053,2048616571,591,591
618284053,98105901,1006,1006
